location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
368921,"Gaziantep - Nizip","co",694029,"µg/m³","2022-10-25T14:00:00Z","2022-10-25T17:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",695223,"µg/m³","2022-10-25T15:00:00Z","2022-10-25T18:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",990833,"µg/m³","2022-10-25T16:00:00Z","2022-10-25T19:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1043910,"µg/m³","2022-10-25T17:00:00Z","2022-10-25T20:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1278853,"µg/m³","2022-10-25T18:00:00Z","2022-10-25T21:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1339815,"µg/m³","2022-10-25T19:00:00Z","2022-10-25T22:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1424553,"µg/m³","2022-10-25T20:00:00Z","2022-10-25T23:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1429836,"µg/m³","2022-10-25T21:00:00Z","2022-10-26T00:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1287438,"µg/m³","2022-10-25T22:00:00Z","2022-10-26T01:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1171679,"µg/m³","2022-10-25T23:00:00Z","2022-10-26T02:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",1033489,"µg/m³","2022-10-26T00:00:00Z","2022-10-26T03:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",789957,"µg/m³","2022-10-26T01:00:00Z","2022-10-26T04:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",653184,"µg/m³","2022-10-26T02:00:00Z","2022-10-26T05:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",602567,"µg/m³","2022-10-26T03:00:00Z","2022-10-26T06:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",575512,"µg/m³","2022-10-26T04:00:00Z","2022-10-26T07:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",576374,"µg/m³","2022-10-26T05:00:00Z","2022-10-26T08:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",572496,"µg/m³","2022-10-26T06:00:00Z","2022-10-26T09:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",602234,"µg/m³","2022-10-26T07:00:00Z","2022-10-26T10:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",629391,"µg/m³","2022-10-26T08:00:00Z","2022-10-26T11:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",654283,"µg/m³","2022-10-26T09:00:00Z","2022-10-26T12:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",673509,"µg/m³","2022-10-26T10:00:00Z","2022-10-26T13:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",702210,"µg/m³","2022-10-26T11:00:00Z","2022-10-26T14:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",719416,"µg/m³","2022-10-26T12:00:00Z","2022-10-26T15:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",728170,"µg/m³","2022-10-26T13:00:00Z","2022-10-26T16:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",719983,"µg/m³","2022-10-26T14:00:00Z","2022-10-26T17:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",720837,"µg/m³","2022-10-26T15:00:00Z","2022-10-26T18:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",734601,"µg/m³","2022-10-26T16:00:00Z","2022-10-26T19:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",756349,"µg/m³","2022-10-26T17:00:00Z","2022-10-26T20:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",765913,"µg/m³","2022-10-26T18:00:00Z","2022-10-26T21:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",789371,"µg/m³","2022-10-26T19:00:00Z","2022-10-26T22:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",787472,"µg/m³","2022-10-26T20:00:00Z","2022-10-26T23:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",796491,"µg/m³","2022-10-26T21:00:00Z","2022-10-27T00:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",793850,"µg/m³","2022-10-26T22:00:00Z","2022-10-27T01:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",784130,"µg/m³","2022-10-26T23:00:00Z","2022-10-27T02:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",762523,"µg/m³","2022-10-27T00:00:00Z","2022-10-27T03:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",739201,"µg/m³","2022-10-27T01:00:00Z","2022-10-27T04:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",695937,"µg/m³","2022-10-27T02:00:00Z","2022-10-27T05:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
368921,"Gaziantep - Nizip","co",680671,"µg/m³","2022-10-27T03:00:00Z","2022-10-27T06:00:00+03:00","Europe/Istanbul",37.00996126772837,37.80395983236194,,,,"Unknown Governmental Organization","Türkiye"
